spectrum_id,mineral_id,source,instrument,sample_name
SPC-000338,5,RRUFF,Raman,R040049
SPC-000339,5,RRUFF,Raman,R050031
SPC-000340,5,RRUFF,Raman,R050417
SPC-000341,5,RRUFF,Raman,R060493
SPC-000342,5,RRUFF,Raman,R060745
SPC-000343,5,RRUFF,Raman,R070714
SPC-000344,5,RRUFF,Raman,R110109
SPC-000345,5,RRUFF,Raman,R120008
SPC-000346,5,USGS,ASD,AV00
SPC-000347,5,USGS,ASD,AV00
SPC-000348,5,USGS,ASD,AV00
SPC-000349,5,USGS,ASD,AV01
SPC-000350,5,USGS,ASD,AV01
SPC-000351,5,USGS,ASD,AV01
SPC-000352,5,USGS,ASD,AV05
SPC-000353,5,USGS,ASD,AV05
SPC-000354,5,USGS,ASD,AV05
SPC-000355,5,USGS,ASD,AV06
SPC-000356,5,USGS,ASD,AV06
SPC-000357,5,USGS,ASD,AV06
SPC-000358,5,USGS,ASD,AV09
SPC-000359,5,USGS,ASD,AV09
SPC-000360,5,USGS,ASD,AV09
SPC-000361,5,USGS,ASD,AV10
SPC-000362,5,USGS,ASD,AV10
SPC-000363,5,USGS,ASD,AV10
SPC-000364,5,USGS,ASD,AV11
SPC-000365,5,USGS,ASD,AV11
SPC-000366,5,USGS,ASD,AV11
SPC-000367,5,USGS,ASD,AV12
SPC-000368,5,USGS,ASD,AV12
SPC-000369,5,USGS,ASD,AV12
SPC-000370,5,USGS,ASD,AV13
SPC-000371,5,USGS,ASD,AV13
SPC-000372,5,USGS,ASD,AV13
SPC-000373,5,USGS,ASD,AV14
SPC-000374,5,USGS,ASD,AV14
SPC-000375,5,USGS,ASD,AV14
SPC-000376,5,USGS,ASD,AV95
SPC-000377,5,USGS,ASD,AV95
SPC-000378,5,USGS,ASD,AV95
SPC-000379,5,USGS,ASD,AV96
SPC-000380,5,USGS,ASD,AV96
SPC-000381,5,USGS,ASD,AV96
SPC-000382,5,USGS,ASD,AV97
SPC-000383,5,USGS,ASD,AV97
SPC-000384,5,USGS,ASD,AV97
SPC-000385,5,USGS,ASD,AV98
SPC-000386,5,USGS,ASD,AV98
SPC-000387,5,USGS,ASD,AV98
SPC-000388,5,USGS,ASD,AV99
SPC-000389,5,USGS,ASD,AV99
SPC-000390,5,USGS,ASD,AV99
SPC-000391,5,USGS,ASD,HS126.3B
SPC-000392,5,USGS,ASD,HS126.3B
SPC-000393,5,USGS,ASD,HS126.3B
SPC-000394,5,USGS,ASD,HS126.3B
SPC-000395,5,USGS,ASD,HS126.3B
SPC-000396,5,USGS,ASD,HS126.3B
SPC-000397,5,USGS,ASD,HS126.3B
SPC-000398,5,USGS,ASD,HS126.3B
SPC-000399,5,USGS,ASD,HS126.3B
SPC-000400,5,USGS,ASD,HY07
SPC-000401,5,USGS,ASD,HY07
SPC-000402,5,USGS,ASD,HY07
SPC-000403,5,USGS,ASD,HY14
SPC-000404,5,USGS,ASD,HY14
SPC-000405,5,USGS,ASD,HY14
SPC-000406,5,USGS,ASD,M3t
SPC-000407,6,RELAB,UNKNOWN,mazi01
SPC-000408,6,RELAB,UNKNOWN,mazi02
SPC-000409,6,RRUFF,Raman,Cubiczirconia
SPC-000410,6,RRUFF,Raman,R040142
SPC-000411,6,RRUFF,Raman,R050034
SPC-000412,6,RRUFF,Raman,R050203
SPC-000413,6,RRUFF,Raman,R050286
SPC-000414,6,RRUFF,Raman,R050488
SPC-000415,6,RRUFF,Raman,R100128
SPC-000416,6,RRUFF,Raman,R100144
SPC-000417,6,RRUFF,Raman,R110112
SPC-000418,6,RRUFF,Raman,R150080
SPC-000419,6,RRUFF,Raman,R150083
SPC-000420,6,RRUFF,UNKNOWN,X050179_Raman_785_Raman_Data_Processed_a418845aa0f64978e1f3ffecfa68
SPC-000421,6,RRUFF,UNKNOWN,X050180_Raman_785_Raman_Data_Processed_05bd5d512f92d12c268e31481136
SPC-000422,6,RRUFF,UNKNOWN,X050181_Raman_785_Raman_Data_Processed_c7ec6231d5037cf3e5b0550083b9
SPC-000423,6,RRUFF,UNKNOWN,X050182_Raman_785_Raman_Data_Processed_96e8f3a24f42a4a90d143b409296
SPC-000424,6,RRUFF,UNKNOWN,X050183_Raman_514_Raman_Data_Processed_e748c5cc786454412b7c938972c0
SPC-000425,6,USGS,ASD,AV00
SPC-000426,6,USGS,ASD,AV00
SPC-000427,6,USGS,ASD,AV01
SPC-000428,6,USGS,ASD,AV01
SPC-000429,6,USGS,ASD,AV05
SPC-000430,6,USGS,ASD,AV05
SPC-000431,6,USGS,ASD,AV06
SPC-000432,6,USGS,ASD,AV06
SPC-000433,6,USGS,ASD,AV09
SPC-000434,6,USGS,ASD,AV09
SPC-000435,6,USGS,ASD,AV10
SPC-000436,6,USGS,ASD,AV10
SPC-000437,6,USGS,ASD,AV11
SPC-000438,6,USGS,ASD,AV11
SPC-000439,6,USGS,ASD,AV12
SPC-000440,6,USGS,ASD,AV12
SPC-000441,6,USGS,ASD,AV13
SPC-000442,6,USGS,ASD,AV13
SPC-000443,6,USGS,ASD,AV14
SPC-000444,6,USGS,ASD,AV14
SPC-000445,6,USGS,ASD,AV95
SPC-000446,6,USGS,ASD,AV95
SPC-000447,6,USGS,ASD,AV96
SPC-000448,6,USGS,ASD,AV96
SPC-000449,6,USGS,ASD,AV97
SPC-000450,6,USGS,ASD,AV97
SPC-000451,6,USGS,ASD,AV98
SPC-000452,6,USGS,ASD,AV98
SPC-000453,6,USGS,ASD,AV99
SPC-000454,6,USGS,ASD,AV99
SPC-000455,6,USGS,ASD,HY07
SPC-000456,6,USGS,ASD,HY07
SPC-000457,6,USGS,ASD,HY14
SPC-000458,6,USGS,ASD,HY14
SPC-000459,6,USGS,ASD,M3t
SPC-000460,6,USGS,ASD,M3t
SPC-000461,6,USGS,ASD,WS522
SPC-000462,6,USGS,ASD,WS522
SPC-000463,6,USGS,ASD,WS522
SPC-000464,6,USGS,ASD,WS522
SPC-000465,6,USGS,ASD,WS522
SPC-000466,6,USGS,ASD,WS522
SPC-000467,6,USGS,ASD,WS522
SPC-000468,6,USGS,ASD,WS522
SPC-000469,6,USGS,ASD,WS522
SPC-000470,6,USGS,ASD,WS522
SPC-000471,6,USGS,ASD,WS522
SPC-000472,6,USGS,ASD,WS522
SPC-000473,6,USGS,ASD,WS522
SPC-000474,6,USGS,ASD,WS522
SPC-000475,7,RELAB,UNKNOWN,397s235
SPC-000476,7,RELAB,UNKNOWN,bir1dd070
SPC-000477,7,RELAB,UNKNOWN,bir1dd071
SPC-000478,7,RELAB,UNKNOWN,bir1dd072
SPC-000479,7,RELAB,UNKNOWN,bir1dd073
SPC-000480,7,RELAB,UNKNOWN,bir1dd074
SPC-000481,7,RELAB,UNKNOWN,bir1dd152
SPC-000482,7,RELAB,UNKNOWN,bir1mx098c
SPC-000483,7,RELAB,UNKNOWN,bir1mx099c
SPC-000484,7,RELAB,UNKNOWN,bir1mx100c
SPC-000485,7,RELAB,UNKNOWN,bir1mx101c
SPC-000486,7,RELAB,UNKNOWN,bir1mx102c
SPC-000487,7,RELAB,UNKNOWN,bir1mx103c
SPC-000488,7,RELAB,UNKNOWN,bir1mx104c
SPC-000489,7,RELAB,UNKNOWN,bir1pd010
SPC-000490,7,RELAB,UNKNOWN,bir1pd010c
SPC-000491,7,RELAB,UNKNOWN,bir1pd011
SPC-000492,7,RELAB,UNKNOWN,bmr1ck007
SPC-000493,7,RELAB,UNKNOWN,bmr1ck030
SPC-000494,7,RELAB,UNKNOWN,bmr1ck031
SPC-000495,7,RELAB,UNKNOWN,bmr1ck032
SPC-000496,7,RELAB,UNKNOWN,bmr1ck033
SPC-000497,7,RELAB,UNKNOWN,bmr1ck034
SPC-000498,7,RELAB,UNKNOWN,bmr1ck035
SPC-000499,7,RELAB,UNKNOWN,bmr1ck036
SPC-000500,7,RELAB,UNKNOWN,c1ck07
SPC-000501,7,RELAB,UNKNOWN,c1ck30
SPC-000502,7,RELAB,UNKNOWN,c1ck31
SPC-000503,7,RELAB,UNKNOWN,c1ck32
