GSUID,spectrum_id,crystal_system,space_group,symmetry_rank,symmetry_index,symmetry_complexity_score
7399be6d24253948df379fe99814c81532b35d2f,SPC-000363,Tetragonal,P4_2/mnm,4,0.5714285714285714,0.4285714285714286
739c2bfca1137170c134e8deab5f5feb7e549d11,SPC-000402,Tetragonal,P4_2/mnm,4,0.5714285714285714,0.4285714285714286
73a2343f39404e4653522ff53aa85892f0271b3f,SPC-000869,Orthorhombic,Pbnm,3,0.42857142857142855,0.5714285714285714
73d962353bf18833d60156b585490889bf344e08,SPC-001126,Hexagonal,P6/mcc,6,0.8571428571428571,0.1428571428571429
73fefb9b960d390c89c0763b37f9b12024789f13,SPC-000797,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
7439cab22fa7207a513895285f0caefe5df83305,SPC-001361,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
7491cefe9863a28cf96e311f9404f4d636e6b221,SPC-001712,Trigonal,R-3c,5,0.7142857142857143,0.2857142857142857
74b490c11fca0c26d1123bd749647cbe10561d06,SPC-000712,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
74d2399de49d9239d52367009cbf889db04addfb,SPC-000027,Cubic,Ia-3d,7,1.0,0.0
74d975eca64b0ebe38448161f2a676a2d74466b2,SPC-000472,Tetragonal,I4_1/amd,4,0.5714285714285714,0.4285714285714286
74dd936251d1c50b86f99c30d58a1c5e52d22fd2,SPC-000610,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
75164c2f19c78d8bfced9f8c15391aa698f6e66b,SPC-001213,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
753893496b643df3f0e9bc762506aea98971ca3e,SPC-000003,Cubic,Ia-3d,7,1.0,0.0
755b9cfa7b973b76c591d5ac31d669c1bc1104f7,SPC-000305,Cubic,Fd-3m,7,1.0,0.0
757a379cca7c152a3d58817f5242e550f6d54a9a,SPC-000491,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
757e9802d2ae3fe34dc535df0c0aa413aeb9ce48,SPC-000015,Cubic,Ia-3d,7,1.0,0.0
758406448a25279a3bcd22f9ae9b052888ffdd65,SPC-001003,Trigonal,P3121,5,0.7142857142857143,0.2857142857142857
7589b152ccbac82c84d6a8e05efa626b085fb847,SPC-000466,Tetragonal,I4_1/amd,4,0.5714285714285714,0.4285714285714286
759c9b5723a5c8657a1349da74f835e4469a077b,SPC-001031,Trigonal,P3121,5,0.7142857142857143,0.2857142857142857
759f11f7d1c12143f55bbe024d74fba097a4b6b5,SPC-001750,Trigonal,R-3c,5,0.7142857142857143,0.2857142857142857
75abd54295dcbc060c0a992f7655b527f64cc574,SPC-000914,Orthorhombic,Pbnm,3,0.42857142857142855,0.5714285714285714
